,Scrapedate,ranking,Country_Other,Total_Case,New_Cases,Total_Death,New_Deaths,Total_Recovered,New_Recovered,Active_cases,Serious_Critical,Tot_Cases_1M_pop,Deaths_1M_pop,Total_Tests,Tests_1m_pop,Population
0,2021-03-24,,"

",721,,15.0,,706.0,,0.0,0.0,,,,,
1,2021-03-24,,"
Africa
",4168936,10961.0,111074.0,329.0,3725951.0,8697.0,331911.0,2742.0,,,,,
2,2021-03-24,,"
Asia
",27367776,145539.0,419697.0,1129.0,25356774.0,91600.0,1591305.0,24193.0,,,,,
3,2021-03-24,,"
Oceania
",54948,381.0,1120.0,3.0,34482.0,7.0,19346.0,7.0,,,,,
4,2021-03-24,,"
South America
",20352376,131205.0,526837.0,2823.0,18169578.0,117650.0,1655961.0,19872.0,,,,,
266,2021-03-25,23.0,Canada,956655,5093.0,22826.0,36.0,893469.0,3619.0,40360.0,661.0,25185.0,601.0,27110125.0,713714.0,37984555.0
267,2021-03-25,159.0,CAR,5088,,64.0,,4957.0,,67.0,2.0,1040.0,13.0,38422.0,7856.0,4891042.0
268,2021-03-25,187.0,Caribbean Netherlands,1264,17.0,10.0,,807.0,16.0,447.0,,47875.0,379.0,8908.0,337399.0,26402.0
269,2021-03-25,197.0,Cayman Islands,487,4.0,2.0,,462.0,,23.0,,7347.0,30.0,81247.0,1225685.0,66287.0
270,2021-03-25,163.0,Chad,4480,15.0,158.0,,4094.0,14.0,228.0,,267.0,9.0,,,16767947.0
271,2021-03-25,166.0,Channel Islands,4046,,86.0,,3960.0,,0.0,1.0,23115.0,491.0,399901.0,2284666.0,175037.0
272,2021-03-25,22.0,Chile,962321,7559.0,22587.0,63.0,897975.0,5002.0,41759.0,2466.0,50026.0,1174.0,10887507.0,565984.0,19236410.0
273,2021-03-25,90.0,China,90147,11.0,4636.0,,85348.0,13.0,163.0,,63.0,3.0,160000000.0,111163.0,1439323776.0
274,2021-03-25,11.0,Colombia,2367337,7395.0,62645.0,126.0,2255948.0,5885.0,48744.0,1982.0,46165.0,1222.0,12485669.0,243481.0,51279841.0
275,2021-03-25,170.0,Comoros,3689,2.0,146.0,,3494.0,2.0,49.0,,4177.0,165.0,,,883093.0
276,2021-03-25,144.0,Congo,9681,,135.0,,8208.0,,1338.0,,1724.0,24.0,92500.0,16468.0,5616857.0
277,2021-03-25,63.0,Costa Rica,215178,1740.0,2931.0,23.0,191707.0,757.0,20540.0,155.0,41960.0,572.0,775821.0,151286.0,5128187.0
278,2021-03-25,52.0,Croatia,264111,1802.0,5854.0,16.0,249205.0,1141.0,9052.0,115.0,64628.0,1432.0,1511440.0,369851.0,4086614.0
279,2021-03-25,97.0,Cuba,70634,832.0,413.0,5.0,66847.0,843.0,3374.0,67.0,6239.0,36.0,2883123.0,254658.0,11321533.0
280,2021-03-25,153.0,Curaçao,7057,409.0,28.0,1.0,5008.0,29.0,2021.0,38.0,42877.0,170.0,64449.0,391583.0,164586.0
281,2021-03-25,104.0,Cyprus,43971,361.0,248.0,,2057.0,,41666.0,53.0,36226.0,204.0,3064597.0,2524794.0,1213801.0
282,2021-03-25,18.0,Czechia,1503307,7853.0,25639.0,87.0,1299552.0,282.0,178116.0,1860.0,140187.0,2391.0,11690302.0,1090150.0,10723575.0
283,2021-03-25,60.0,Denmark,226633,789.0,2411.0,2.0,215596.0,674.0,8626.0,40.0,39026.0,415.0,23907341.0,4116862.0,5807176.0
284,2021-03-25,194.0,Diamond Princess,712,,13.0,,699.0,,0.0,,,,,,
285,2021-03-25,151.0,Djibouti,7169,153.0,66.0,2.0,6235.0,28.0,868.0,,7180.0,66.0,126414.0,126604.0,998498.0
286,2021-03-25,201.0,Dominica,161,1.0,,,153.0,2.0,8.0,,2232.0,,13201.0,183050.0,72117.0
287,2021-03-25,54.0,Dominican Republic,251332,364.0,3298.0,3.0,210396.0,354.0,37638.0,142.0,23000.0,302.0,1294575.0,118469.0,10927552.0
288,2021-03-25,117.0,DRC,27794,65.0,726.0,,25355.0,,1713.0,,304.0,8.0,,,91535918.0
289,2021-03-25,47.0,Ecuador,321451,2795.0,16632.0,50.0,271847.0,,32972.0,521.0,18020.0,932.0,1123272.0,62968.0,17838744.0
290,2021-03-25,67.0,Egypt,198681,670.0,11804.0,36.0,152198.0,433.0,34679.0,90.0,1915.0,114.0,2506788.0,24164.0,103741837.0
291,2021-03-25,99.0,El Salvador,63766,,1996.0,3.0,61009.0,,761.0,35.0,9795.0,307.0,827129.0,127051.0,6510216.0
292,2021-03-25,154.0,Equatorial Guinea,6851,,102.0,,6335.0,,414.0,10.0,4770.0,71.0,107960.0,75162.0,1436370.0
293,2021-03-25,173.0,Eritrea,3208,16.0,9.0,,2970.0,8.0,229.0,,896.0,3.0,23693.0,6614.0,3582295.0
294,2021-03-25,84.0,Estonia,101587,1151.0,847.0,11.0,72025.0,649.0,28715.0,69.0,76543.0,638.0,1116763.0,841449.0,1327191.0
